pid,gender,rank,rank_s,rank_cj,name,born,nation,category,bweight,snatch1,snatch2,snatch3,snatch,jerk1,jerk2,jerk3,jerk,total,event,date
0,w,1,---,---,WANG Mingjuan,11.10.1985,CHN,48,47.73,*88,88,91,91,110,114,*116,114,205,XXX OLYMPIC GAMES,07.2012
1,w,2,---,---,MIYAKE Hiromi,18.11.1985,JPN,48,47.74,83,85,87,87,108,110,*113,110,197,XXX OLYMPIC GAMES,07.2012
2,w,3,---,---,RYANG Chun Hwa,12.06.1991,PRK,48,47.52,80,*83,*84,80,*108,109,112,112,192,XXX OLYMPIC GAMES,07.2012
3,w,4,---,---,PRAMONGKHOL Sirivimon,29.11.1994,THA,48,47.23,78,*80,82,82,106,*108,109,109,191,XXX OLYMPIC GAMES,07.2012
4,w,5,---,---,KARAGOZ Nurdan,25.01.1987,TUR,48,46.99,80,83,*84,83,104,*107,*107,104,187,XXX OLYMPIC GAMES,07.2012
5,w,6,---,---,MIZUOCHI Honami,05.02.1993,JPN,48,47.77,76,78,80,80,92,94,96,96,176,XXX OLYMPIC GAMES,07.2012
6,w,7,---,---,CHANU NGANGBAM Soniya,15.02.1980,IND,48,47.74,72,74,*75,74,93,*97,97,97,171,XXX OLYMPIC GAMES,07.2012
7,w,8,---,---,RIVAS ARTEAGA Betsi Gabriela,02.10.1986,VEN,48,47.43,68,*70,70,70,92,96,98,98,168,XXX OLYMPIC GAMES,07.2012
8,w,9,---,---,PIRON CANDELARIO Beatriz Elizabeth,27.02.1995,DOM,48,47.85,72,75,77,77,87,90,*92,90,167,XXX OLYMPIC GAMES,07.2012
9,w,10,---,---,NOEL BARDIS Melanie Marie Anna,13.05.1986,FRA,48,47.71,70,73,*75,73,88,91,93,93,166,XXX OLYMPIC GAMES,07.2012
10,w,11,---,---,BURGOS ORTIZ Lely Berlitt,06.06.1985,PUR,48,47.61,65,*70,*70,65,87,*92,92,92,157,XXX OLYMPIC GAMES,07.2012
11,w,12,---,---,RAKOTONDRAMANANA Harinelina Nathalia,15.01.1989,MAD,48,47.74,*55,55,*60,55,75,80,*82,80,135,XXX OLYMPIC GAMES,07.2012
12,w,---,---,---,SISOEVA Marina,30.05.1993,UZB,48,47.85,*79,*79,*80,---,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
13,w,---,---,---,KHAMSRI Panida,13.01.1989,THA,48,47.45,*81,*81,*81,---,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
14,w,1,---,---,CHINSHANLO Zulfiya,25.07.1993,KAZ,53,52.70,*92,92,95,95,125,131,*135,131,226,XXX OLYMPIC GAMES,07.2012
15,w,2,---,---,HSU Shu-Ching,09.05.1991,TPE,53,52.41,91,94,96,96,120,*123,123,123,219,XXX OLYMPIC GAMES,07.2012
16,w,3,---,---,IOVU Cristina,08.11.1992,MDA,53,52.79,95,*99,99,99,115,120,*125,120,219,XXX OLYMPIC GAMES,07.2012
17,w,4,---,---,FEBRIANTI Citra,22.02.1988,INA,53,52.53,88,91,*94,91,108,112,115,115,206,XXX OLYMPIC GAMES,07.2012
18,w,5,---,---,PARATOVA Iuliia,07.11.1986,UKR,53,52.43,91,*94,*94,91,105,*108,108,108,199,XXX OLYMPIC GAMES,07.2012
19,w,6,---,---,VILLAR BARBOZA Rusmeris,28.03.1983,COL,53,52.59,*87,87,*90,87,105,109,*112,109,196,XXX OLYMPIC GAMES,07.2012
20,w,7,---,---,KLEJNOWSKA-KRZYWANSKA Aleksandra Jadwiga,17.12.1982,POL,53,52.67,83,84,*86,84,108,112,  *113,112,196,XXX OLYMPIC GAMES,07.2012
21,w,8,---,---,NGUYEN Thi Thuy,23.08.1990,VIE,53,52.23,80,*84,85,85,*110,110,*115,110,195,XXX OLYMPIC GAMES,07.2012
22,w,9,---,---,YU Weili,24.06.1983,HKG,53,52.95,*86,86,90,90,105,*110,*110,105,195,XXX OLYMPIC GAMES,07.2012
23,w,10,---,---,HENRRIQUEZ GONZALEZ Inmara Tibisay,23.09.1981,VEN,53,52.84,78,*81,81,81,107,110,113,113,194,XXX OLYMPIC GAMES,07.2012
24,w,11,---,---,ROHDE Julia,13.05.1989,GER,53,52.45,83,85,*87,85,105,108,*110,108,193,XXX OLYMPIC GAMES,07.2012
25,w,12,---,---,YAGI Kanae,16.07.1992,JPN,53,52.36,*82,82,*85,82,105,*109,109,109,191,XXX OLYMPIC GAMES,07.2012
26,w,13,---,---,LOCHOWSKA Joanna,17.11.1988,POL,53,52.57,84,*87,*87,84,104,107,*110,107,191,XXX OLYMPIC GAMES,07.2012
27,w,14,---,---,TOUA Loa Dika,23.06.1984,PNG,53,52.48,75,*79,79,79,95,*100,*100,95,174,XXX OLYMPIC GAMES,07.2012
28,w,15,---,---,WONG Kar Mun Helena,11.04.1988,SIN,53,52.31,55,59,61,61,67,71,73,73,134,XXX OLYMPIC GAMES,07.2012
29,w,---,---,---,ZHOU Jun,27.02.1995,CHN,53,52.80,*95,*95,*95,---,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
30,w,---,---,---,DASDELEN Aylin,01.01.1982,TUR,53,52.91,*91,*91,91,91,*124,*129,---,---,0,XXX OLYMPIC GAMES,07.2012
31,w,---,---,---,CONTRERAS Yuderqui Maridalia,27.03.1986,DOM,53,52.95,*94,*94,*94,---,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
32,m,1,---,---,OM Yun Chol,18.11.1991,PRK,56,55.76,120,*125,125,125,160,165,168,168,293,XXX OLYMPIC GAMES,07.2012
33,m,2,---,---,WU Jingbiao,10.01.1989,CHN,56,55.91,*130,130,133,133,*156,156,*161,156,289,XXX OLYMPIC GAMES,07.2012
34,m,3,---,---,HRISTOV Valentin,30.03.1994,AZE,56,55.84,123,127,*130,127,154,*158,159,159,286,XXX OLYMPIC GAMES,07.2012
35,m,4,---,---,TRAN Le Quoc Toan,05.04.1989,VIE,56,55.84,*125,*125,125,125,155,159,*162,159,284,XXX OLYMPIC GAMES,07.2012
36,m,5,---,---,SETIADI Jadi,02.02.1985,INA,56,55.48,121,125,127,127,*150,150,*156,150,277,XXX OLYMPIC GAMES,07.2012
37,m,6,---,---,MONTES GONGORA Jose Lino,18.04.1989,MEX,56,55.80,112,*116,*116,112,150,157,*160,157,269,XXX OLYMPIC GAMES,07.2012
38,m,7,---,---,RADA RODRIGUEZ Sergio Armando,27.01.1984,COL,56,55.89,*118,118,*121,118,148,151,*155,151,269,XXX OLYMPIC GAMES,07.2012
39,m,8,---,---,BERNA GONZALEZ Carlos Andres,21.01.1990,COL,56,55.55,*115,115,118,118,150,*153,*153,150,268,XXX OLYMPIC GAMES,07.2012
40,m,9,---,---,CROITORU Florin Ionut,25.08.1993,ROU,56,55.90,121,*125,*125,121,*145,*145,147,147,268,XXX OLYMPIC GAMES,07.2012
41,m,10,---,---,SIN Chol Bom,15.06.1990,PRK,56,55.72,*110,110,113,113,145,*150,*150,145,258,XXX OLYMPIC GAMES,07.2012
42,m,11,---,---,ROMERO Yasmani,26.09.1988,CUB,56,55.95,*112,112,*116,112,142,*146,146,146,258,XXX OLYMPIC GAMES,07.2012
43,m,12,---,---,GOEGEBUER Tom Richard,27.03.1975,BEL,56,55.88,111,115,*117,115,132,*137,*138,132,247,XXX OLYMPIC GAMES,07.2012
44,m,13,---,---,TULO Manueli,25.03.1990,FIJ,56,55.77,100,105,*110,105,128,*132,*132,128,233,XXX OLYMPIC GAMES,07.2012
45,m,14,---,---,SCARANTINO Mirco,16.01.1995,ITA,56,55.42,*97,*97,97,97,123,128,*132,128,225,XXX OLYMPIC GAMES,07.2012
46,m,---,---,---,MAKAROV Ruslan,19.01.1987,UZB,56,55.96,*117,117,*119,117,*145,*145,*145,---,0,XXX OLYMPIC GAMES,07.2012
47,m,---,---,---,EL MAOUI Khalil,12.09.1988,TUN,56,55.39,127,130,132,132,---,---,---,---,0,XXX OLYMPIC GAMES,07.2012
48,m,---,---,---,OSMONALIEV Bekzat,28.12.1985,KGZ,56,55.93,120,125,127,127,*147,*147,*147,---,0,XXX OLYMPIC GAMES,07.2012
49,m,---,---,---,ALVAREZ BOULET Sergio,11.10.1979,CUB,56,55.96,117,121,*125,121,*150,*150,*150,---,0,XXX OLYMPIC GAMES,07.2012
50,w,1,---,---,LI Xueying,15.05.1990,CHN,58,57.98,*105,105,108,108,133,138,*144,138,246,XXX OLYMPIC GAMES,07.2012
51,w,2,---,---,SIRIKAEW Pimsiri,25.04.1990,THA,58,57.76,100,*103,*103,100,131,136,*140,136,236,XXX OLYMPIC GAMES,07.2012
52,w,3,---,---,KALINA Yuliya,24.10.1988,UKR,58,57.60,101,104,106,106,123,127,129,129,235,XXX OLYMPIC GAMES,07.2012
53,w,4,---,---,GULNOI Rattikan,17.07.1993,THA,58,57.71,*98,*100,100,100,130,134,*136,134,234,XXX OLYMPIC GAMES,07.2012
54,w,5,---,---,KOSTOVA Boyanka Minkova,10.05.1993,AZE,58,56.93,100,103,105,105,*124,124,128,128,233,XXX OLYMPIC GAMES,07.2012
55,w,6,---,---,JONG Chun Mi,15.03.1985,PRK,58,57.63,101,*103,*103,101,130,*134,*134,130,231,XXX OLYMPIC GAMES,07.2012
56,w,7,---,---,NOVIKAVA Nastassia,16.11.1981,BLR,58,57.94,103,*106,*108,103,*127,127,*133,127,230,XXX OLYMPIC GAMES,07.2012
57,w,8,---,---,KUO Hsing-Chun,26.11.1993,TPE,58,56.95,99,*101,*102,99,129,*133,*133,129,228,XXX OLYMPIC GAMES,07.2012
